hh_ID,door_screens,house_type,concrete_house,water_supply_by_pipe,garbage_management,n_toilets_outside
410,0,Single,0,1,Burn,1
411,0,Single,1,1,Burn,1
412,0,Poles,0,1,Burn,1
413,0,Single,1,1,Car,0
414,0,Single,0,1,Burn,0
415,0,Single,0,1,Car,1
416,0,Single,1,1,Dump,1
417,0,Single,1,1,Burn,0
418,1,Single,1,1,Car,0
419,0,Townhouse,1,1,Car,0
420,0,Poles,0,1,Dump,0
421,0,Single,1,1,Burn,2
422,1,Single,1,Unknown,Burn,1
423,0,Single,1,1,Burn,0
424,0,Single,0,1,Burn,1
425,0,Single,1,1,Burn,0
426,0,Single,1,1,Car,0
427,0,Single,1,Unknown,Burn,2
428,0,Poles,1,1,Burn,0
429,1,Single,1,1,Car,0
430,0,Single,1,1,Car,0
431,0,Poles,0,1,Car,1
432,0,Single,1,1,Burn,1
433,0,Single,1,1,Dump,0
434,1,Townhouse,1,1,Car,0
435,1,Single,1,1,Car,0
436,0,Single,1,1,Car,0
437,1,Single,1,1,Car,0
438,0,Single,1,1,Car,0
439,1,Single,1,1,Car,0
440,0,Single,1,1,Car,0
441,0,Single,1,1,Car,1
442,0,Townhouse,1,1,Car,0
443,0,Poles,0,1,Car,0
444,0,Townhouse,1,1,Car,0
445,0,Poles,0,1,Car,0
446,0,Single,1,1,Car,1
447,1,Single,0,1,Burn,0
448,0,Single,1,1,Burn,0
449,0,Poles,0,1,Burn,1
450,0,Single,1,1,Burn,0
451,0,Poles,0,1,Burn,1
452,0,Single,1,1,Car,0
453,0,Single,0,Unknown,Burn,1
454,0,Single,0,1,Burn,2
455,0,Single,1,1,Car,0
456,1,Single,1,1,Car,0
457,0,Single,0,Unknown,Burn,0
458,0,Single,1,1,Burn,0
459,0,Single,0,1,Car,0
460,0,Single,1,1,Car,0
461,0,Single,1,1,Car,2
462,0,Poles,1,1,Dump,0
463,0,Single,1,1,Car,0
464,0,Poles,1,1,Dump,0
465,0,Single,1,1,Car,0
466,0,Poles,0,1,Car,1
467,0,Single,1,1,Car,1
468,0,Single,1,1,Car,0
469,0,Single,1,1,Car,1
470,0,Single,1,1,Car,0
471,0,Poles,1,1,Burn,0
472,0,Single,1,1,Dump,0
473,1,Single,1,1,Dump,0
474,0,Single,1,1,Car,0
475,1,Single,1,1,Car,0
476,0,Single,1,1,Burn,0
477,0,Single,0,1,Dump,0
478,0,Single,1,1,Dump,1
479,0,Single,1,1,Burn,0
480,0,Poles,0,1,Burn,1
481,1,Single,1,1,Burn,0
482,0,Single,1,1,Dump,0
483,0,Single,0,1,Dump,0
484,0,Poles,0,1,Burn,1
485,1,Single,1,1,Burn,0
486,0,Single,1,1,Car,0
487,0,Single,1,1,Car,2
488,0,Single,1,1,Car,0
489,1,Single,1,1,Car,0
490,0,Single,1,1,Burn,0
491,0,Single,1,1,Burn,1
492,0,Single,1,Unknown,Burn,1
493,0,Single,0,1,Burn,0
494,1,Single,1,1,Burn,0
495,0,Single,1,1,Car,0
496,0,Single,1,1,Car,1
497,1,Single,1,1,Car,1
498,1,Single,1,1,Car,0
499,0,Single,1,1,Car,0
500,0,Poles,1,1,Burn,0
501,0,Single,1,1,Burn,0
502,0,Poles,1,1,Burn,0
503,0,Poles,0,1,Car,0
504,0,Poles,1,1,Burn,0
505,0,Single,1,Unknown,Burn,0
506,1,Single,1,1,Dump,0
507,0,Poles,0,1,Burn,0
508,0,Poles,1,1,Burn,0
509,0,Single,0,1,Burn,1
510,0,Single,1,1,Burn,0
511,0,Single,0,1,Burn,1
512,0,Single,1,1,Burn,0
513,0,Single,1,1,Burn,2
514,1,Single,1,1,Burn,0
515,0,Single,1,1,Car,0
516,1,Single,1,1,Car,0
517,0,Poles,1,1,Car,0
518,1,Single,1,1,Car,0
519,0,Poles,1,1,Car,0
520,1,Townhouse,1,1,Car,0
521,0,Single,1,1,Burn,0
522,0,Poles,0,1,Burn,1
523,1,Single,1,1,Burn,0
524,0,Single,0,1,Burn,1
525,0,Single,0,1,Burn,0
526,0,Single,1,1,Burn,0
527,1,Single,1,Unknown,Burn,2
528,0,Single,1,1,Car,0
529,0,Single,1,1,Burn,0
530,0,Single,0,1,Burn,1
531,0,Single,1,1,Burn,0
532,0,Poles,0,1,Burn,0
533,0,Single,0,1,Car,0
534,0,Single,1,1,Burn,0
535,0,Single,1,1,Burn,1
536,0,Single,0,1,Burn,1
537,0,Single,1,1,Burn,1
538,0,Single,0,1,Burn,1
539,0,Single,1,Unknown,Burn,0
540,0,Single,1,1,Burn,0
541,0,Poles,0,1,Burn,0
542,0,Single,0,1,Burn,0
543,1,Single,1,1,Burn,0
544,0,Single,1,1,Burn,0
545,0,Single,1,1,Car,1
546,0,Single,0,1,Car,1
547,1,Single,1,1,Dump,0
548,0,Single,1,Unknown,Car,0
549,0,Single,1,1,Burn,0
550,0,Single,0,Unknown,Burn,1
551,0,Single,1,Unknown,Burn,3
552,0,Townhouse,1,1,Car,0
553,0,Single,1,1,Burn,0
554,0,Single,0,1,Burn,1
555,0,Single,0,1,Burn,0
556,0,Single,1,1,Car,0
557,1,Single,1,1,Burn,0
558,0,Single,1,Unknown,Burn,0
559,0,Poles,1,Unknown,Burn,0
560,0,Townhouse,1,1,Car,0
561,1,Single,1,1,Car,1
562,0,Poles,1,1,Car,1
563,0,Single,1,1,Burn,0
564,0,Poles,0,1,Burn,1
565,0,Single,1,1,Burn,1
566,0,Poles,0,1,Burn,1
567,0,Single,1,1,Burn,1
568,1,Single,1,1,Burn,0
569,0,Single,0,1,Burn,0
570,1,Single,1,1,Burn,0
571,0,Poles,0,1,Burn,1
572,0,Single,1,1,Burn,1
573,0,Poles,0,1,Burn,1
574,0,Single,1,1,Burn,1
575,0,Single,1,1,Car,0
576,0,Single,0,1,Car,0
577,0,Single,0,1,Car,1
578,0,Single,0,1,Burn,0
579,0,Single,0,1,Car,1
580,0,Single,1,1,Car,0
581,0,Poles,0,1,Car,2
582,0,Single,1,1,Burn,0
583,0,Single,1,1,Burn,1
584,0,Poles,0,1,Burn,0
585,0,Poles,0,1,Car,1
586,0,Single,1,1,Car,0
587,0,Poles,0,1,Car,1
588,0,Single,1,1,Car,0
589,0,Poles,0,1,Car,1
590,1,Single,1,1,Car,0
591,0,Single,1,1,Car,0
592,1,Single,1,1,Car,0
593,0,Single,1,1,Car,0
594,1,Single,1,1,Car,0
595,0,Single,0,1,Burn,0
596,0,Single,1,1,Car,0
597,0,Townhouse,1,1,Car,1
598,1,Poles,1,1,Car,1
599,1,Single,1,1,Car,0
600,0,Single,1,1,Dump,0
601,1,Poles,1,1,Car,1
602,0,Single,0,1,Car,0
603,0,Single,0,1,Car,1
604,0,Single,0,1,Car,0
605,0,Single,0,1,Car,1
606,0,Single,1,1,Car,1
607,0,Single,1,1,Car,0
608,0,Single,0,1,Dump,1
609,0,Poles,0,1,Burn,2
610,0,Single,1,1,Burn,0
