measure_name,location_name,fips,race_name,sex_name,age_name,cause_name,year,metric_name,val,upper,lower
Deaths,Plumas County,6063,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Plumas County,6063,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Plumas County,6063,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Plumas County,6063,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Riverside County,6065,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Riverside County,6065,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Riverside County,6065,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Riverside County,6065,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Riverside County,6065,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Riverside County,6065,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sacramento County,6067,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sacramento County,6067,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sacramento County,6067,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sacramento County,6067,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sacramento County,6067,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sacramento County,6067,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Benito County,6069,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Benito County,6069,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Benito County,6069,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,San Benito County,6069,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Benito County,6069,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,San Benito County,6069,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Bernardino County,6071,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Bernardino County,6071,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Bernardino County,6071,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Bernardino County,6071,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Bernardino County,6071,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Bernardino County,6071,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Diego County,6073,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Diego County,6073,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Diego County,6073,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Diego County,6073,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Diego County,6073,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Diego County,6073,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Francisco County,6075,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Francisco County,6075,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Francisco County,6075,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Francisco County,6075,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Francisco County,6075,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Francisco County,6075,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Joaquin County,6077,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Joaquin County,6077,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Joaquin County,6077,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Joaquin County,6077,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Joaquin County,6077,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Joaquin County,6077,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Luis Obispo County,6079,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Luis Obispo County,6079,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Luis Obispo County,6079,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Luis Obispo County,6079,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Luis Obispo County,6079,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Luis Obispo County,6079,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Mateo County,6081,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Mateo County,6081,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Mateo County,6081,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Mateo County,6081,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Mateo County,6081,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,San Mateo County,6081,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Barbara County,6083,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Barbara County,6083,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Barbara County,6083,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Barbara County,6083,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Barbara County,6083,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Barbara County,6083,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Clara County,6085,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Clara County,6085,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Clara County,6085,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Clara County,6085,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Clara County,6085,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Clara County,6085,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Cruz County,6087,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Cruz County,6087,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Cruz County,6087,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Cruz County,6087,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Cruz County,6087,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Santa Cruz County,6087,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Shasta County,6089,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Shasta County,6089,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Shasta County,6089,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Shasta County,6089,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Shasta County,6089,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Shasta County,6089,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sierra County,6091,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sierra County,6091,Latino,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Sierra County,6091,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Sierra County,6091,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sierra County,6091,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Sierra County,6091,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Siskiyou County,6093,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Siskiyou County,6093,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Siskiyou County,6093,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Siskiyou County,6093,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Siskiyou County,6093,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
